Publication_number,Reference,Journal,Study,Case_study,Country,lab_or_field_experiment,Original_Site,original_decimals_latitude,original_decimals_longtitude,Original_Altitude.m.a.s.l..,Incubation_Site,incubation_decimal_latitudes,incubation_decimal_longtitude,Incubation_Altitude.m.a.s.l..,Incubation_annual_precipitation_.mm.,incubation_site_annual_temperature,Incubation_site_annual_min_temperatur_.degrees_C.,Incubation_site_annual_max_temperatur_.degrees_C.,Tree_species,Clade,Genus,family,natural_wood_or_block,wood_diameter,woody_debris_type,Diameter_range.mm.,wood_size_class,WD_Decay_class,Start_time,Finish_time,Study_duration_months,Treatments_type,Position_to_soil,Wood_density_initial,Stem_dry_matter_content..SDMC..g.g.1.,Wood_initial_Carbon,Wood_initial_Nitrogen,Wood_initial_Phophorus,Wood_initial_Potassium,Wood_initial_Lignin_perc,Wood_initial_Cellulose,Wood_initial_Hemicellulose,Wood_initial_Calcium,Wood_density_afterdecay,Fauna_group,Target_variable,Target_variable_loss_Exclusion,Target_variable_loss_Access,k_Exclusion,k_Access,sd_exclusion,sd_inclusion,n_sample_Exclusion,n_sample_Acess,Bark_status_presence_or_absent,Note..give.more.detailed.on.method.used.to.exclude.invertebrates.,Termites_type,Data_extracted_by
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected inactive moud open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Sep,3,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,5.19,17.154,NA,NA,5.56669123,7.867605179,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected inactive moud open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,16-Jun,12,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,11.532,44.068,NA,NA,6.293413323,8.488114043,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected inactive moud shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Jul,1,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,6.577,25.38,NA,NA,5.387805792,8.673707685,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected inactive moud shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Sep,3,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,9.462,35.118,NA,NA,6.466708591,9.811866285,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected inactive moud shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia gerrardii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,16-Jun,12,physical,surface,0.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,16.636,73.295,NA,NA,5.379979554,10.44355549,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Jul,1,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,4.496,11.658,NA,NA,3.625784226,5.39563203,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Sep,3,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,8.681,37.14,NA,NA,9.787269538,10.94331668,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,16-Jun,12,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,12.933,67.041,NA,NA,3.375344612,11.61972725,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Jul,1,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,4.64,37.353,NA,NA,4.578349184,11.22729732,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Sep,3,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,7.741,42.777,NA,NA,6.252046065,17.65152061,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,16-Jun,12,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,12.74,58.447,NA,NA,6.40745279,8.854829191,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected off mould ,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Jul,1,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,1.661,18.22,NA,NA,3.928771436,9.899072936,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected off mould ,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Sep,3,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,4.786,12.229,NA,NA,3.738705658,11.16915955,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected off mould ,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,16-Jun,12,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,6.217,32.067,NA,NA,3.954486218,5.905455529,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected inactive moud open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Jul,1,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,3.144,37.66,NA,NA,3.947778014,10.81250671,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected inactive moud open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Sep,3,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,3.299,24.118,NA,NA,3.53186937,7.061502673,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected inactive moud open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,16-Jun,12,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,8.964,51.947,NA,NA,3.115960727,5.798124266,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected inactive moud shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Jul,1,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,2.578,21.919,NA,NA,5.812658708,8.310346638,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected inactive moud shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Sep,3,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,4.033,26.65,NA,NA,5.383333656,10.03547308,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected inactive moud shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia hockii,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,16-Jun,12,physical,surface,0.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,7.877,46.424,NA,NA,6.255400167,9.90019097,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia sieberiana ,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Jul,1,physical,surface,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,5.397,23.548,NA,NA,4.645431223,9.007999847,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia sieberiana ,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Sep,3,physical,surface,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,5.934,36.232,NA,NA,5.120595668,8.792219288,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould open,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia sieberiana ,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,16-Jun,12,physical,surface,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,9.971,72.092,NA,NA,10.89412319,15.46576417,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia sieberiana ,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Jul,1,physical,surface,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,3.687,22.488,NA,NA,4.074115855,15.8682564,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia sieberiana ,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Sep,3,physical,surface,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,6.536,40.463,NA,NA,4.19039139,14.05592331,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected active mould shade,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia sieberiana ,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,16-Jun,12,physical,surface,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,11.184,81.496,NA,NA,6.172665652,11.61301904,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected off mould ,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia sieberiana ,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Jul,1,physical,surface,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,2.174,12.22,NA,NA,2.628497908,10.5162277,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
1,Acanakwo et al 2019,Ecosphere,Wood decomposition is more rapid on than off termite mounds in an African savanna,protected vs unprotected off mould ,Uganda,field,Lake Mburo National Park,-0.663333,31.888611,NA,Lake Mburo National Park,-0.663333,31.888611,NA,865,NA,NA,19.8,Acacia sieberiana ,angiosperm,Acacia,Fabaceae,natural,40,woody,30 to 50,fine,NA,15-Jun,15-Sep,3,physical,surface,0.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrotermes,mass loss,3.385,15.635,NA,NA,2.632970044,5.088172683,5,5,absent,"fauna not excluded, samples were tied with a wire to ensure they remain in position during the experiment period",Macrotermes,Denis Mburu Njoroge
